Table 1
Ground-level Enhancements >10% Observed by Neutron Monitors

Sorted by Date (dd/mm/yy)	Sorted by Size	Sorted by Longitude	
GLE#	Incr%	Date	Lat N	Long W	GLE#	Incr%	Date	Lat N	Long W	GLE#	Incr%	Date	Lat N	Long W	
5	5000	23/02/1956	10	85	*69	5500	20/01/05	12	58	16	30	28/01/67	~22	~150	
7	18	17/07/1959	16	31	*5	5000	23/02/56	10	85	39	100	16/02/84	?	~130	
8	270	04/05/1960	10	90	*42	395	29/09/89	~-24	~105	23	20	01/09/71	~-11	~120	
10	150	12/11/1960	27	4	*8	270	04/05/60	10	90	29	12	24/09/77	~10	~120	
11	110	15/11/1960	25	35	*60	230	15/04/01	-20	85	*42	395	29/09/89	~-24	~105	
13	13	18/07/1961	-7	59	*31	210	07/05/78	24	68	22	38	24/01/71	~19	~103	
16	30	28/01/1967	~22	~150	*44	190	22/10/89	-27	32	61	26	18/04/01	-23	117	
19	32	18/11/1968	21	87	10	150	12/11/60	27	4	*8	270	04/05/60	10	90	
20	35	25/02/1969	13	37	*11	110	15/11/60	25	35	71	23	17/05/12	07	88	
22	38	24/01/1971	~19	~103	*70	110	13/12/06	6	24	19	32	18/11/68	21	87	
22	38	24/01/1971	18	49	39	100	16/02/84	?	~130	38	55	07/12/82	-19	86	
23	20	01/09/1971	~-11	~120	45	95	24/10/89	-29	57	*5	5000	23/02/56	10	85	
24	79	04/08/1972	14	-8	43	90	19/10/89	-25	-9	41	24	16/08/89	-15	85	
25	17	07/08/1972	14	37	59	80	14/07/00	22	7	*60	230	15/04/01	-20	85	
27	12	30/04/1976	-8	46	24	79	04/08/72	14	-8	*48	50	24/05/90	36	76	
29	12	24/09/1977	~10	~120	52	57	15/06/91	36	70	52	57	15/06/91	36	70	
30	55	22/11/1977	24	40	30	55	22/11/77	24	40	*31	210	07/05/78	24	68	
31	210	07/05/1978	24	68	38	55	07/12/82	-19	86	55	18	06/11/97	-18	63	
32	12	23/09/1978	35	50	*48	50	24/05/90	36	76	13	13	18/07/61	-7	59	
33	11	21/08/1979	17	40	65	45	28/10/03	20	-2	67	37	02/11/03	-18	59	
36	21	12/10/1981	-18	-31	22	38	24/01/71	~19	~103	*69	5500	20/01/05	12	58	
38	55	07/12/1982	-19	86	22	38	24/01/71	18	49	45	95	24/10/89	-29	57	
39	100	16/02/1984	?	~130	67	37	02/11/03	-18	59	63	21	26/12/01	8	54	
41	24	16/08/1989	-15	85	20	35	25/02/69	13	37	32	12	23/09/78	35	50	
42	395	29/09/1989	~-24	~105	66	35	29/10/03	-19	9	22	38	24/01/71	18	49	
43	90	19/10/1989	-25	-9	19	32	18/11/68	21	87	27	12	30/04/76	-8	46	
44	190	22/10/1989	-27	32	16	30	28/01/67	~22	~150	*11	110	15/11/60	25	35	
45	95	24/10/1989	-29	57	61	26	18/04/01	-23	117	30	55	22/11/77	24	40	
46	12	15/11/1989	11	28	41	24	16/08/89	-15	85	33	11	21/08/79	17	40	
47	24	21/05/1990	34	37	47	24	21/05/90	34	37	20	35	25/02/69	13	37	
48	50	24/05/1990	36	76	71	23	17/05/12	07	88	25	17	07/08/72	14	37	
51	12	11/06/1991	32	15	36	21	12/10/81	-18	-31	47	24	21/05/90	34	37	
52	57	15/06/1991	36	70	63	21	26/12/01	8	54	*44	190	22/10/89	-27	32	
55	18	06/11/1997	-18	63	23	20	01/09/71	~-11	~120	7	18	17/07/59	16	31	
59	80	14/07/1900	22	7	7	18	17/07/59	16	31	46	12	15/11/89	11	28	
60	230	15/04/2001	-20	85	55	18	06/11/97	-18	63	*70	110	13/12/06	6	24	
61	26	18/04/2001	-23	117	25	17	07/08/72	14	37	51	12	11/06/91	32	15	
63	21	26/12/2001	8	54	13	13	18/07/61	-7	59	10	150	12/11/60	27	4	
65	45	28/10/2003	20	-2	27	12	30/04/76	-8	46	66	35	29/10/03	-19	9	
66	35	29/10/2003	-19	9	29	12	24/09/77	~10	~120	59	80	14/07/00	22	7	
67	37	02/11/2003	-18	59	32	12	23/09/78	35	50	65	45	28/10/03	20	-2	
69	5500	20/01/2005	12	58	46	12	15/11/89	11	28	24	79	04/08/72	14	-8	
70	110	13/12/2006	6	24	51	12	11/06/91	32	15	43	90	19/10/89	-25	-9	
71	23	17/05/2012	7	88	33	11	21/08/79	17	40	36	21	12/10/81	-18	-31	
