Table 1
Ground-level Enhancements >10% Observed by Neutron Monitors
Edited by LB to include GLE 1-4. These are dummy values for Incr% and Lat and Lon.
Sorted by Date (dd/mm/yy)	Sorted by Size	Sorted by Longitude	
GLE#	Incr%	Date	Lat N	Long W
1   9999    28/02/1942  99  99
2   9999    07/03/1942  99  99
3   9999    25/07/1946  99  99
4   9999    19/11/1949  99  99  
5	5000	23/02/1956	10	85	
7	18	17/07/1959	16	31	
8	270	04/05/1960	10	90	
10	150	12/11/1960	27	4	
11	110	15/11/1960	25	35	
13	13	18/07/1961	-7	59	
16	30	28/01/1967	~22	~150
19	32	18/11/1968	21	87	
20	35	25/02/1969	13	37	
22	38	24/01/1971	~19	~103
22	38	24/01/1971	18	49	
23	20	01/09/1971	~-11	~120
24	79	04/08/1972	14	-8
25	17	07/08/1972	14	37
27	12	30/04/1976	-8	46
29	12	24/09/1977	~10	~120
30	55	22/11/1977	24	40
31	210	07/05/1978	24	68
32	12	23/09/1978	35	50
33	11	21/08/1979	17	40
36	21	12/10/1981	-18	-31
38	55	07/12/1982	-19	86
39	100	16/02/1984	?	~130
41	24	16/08/1989	-15	85
42	395	29/09/1989	~-24	~105
43	90	19/10/1989	-25	-9
44	190	22/10/1989	-27	32
45	95	24/10/1989	-29	57
46	12	15/11/1989	11	28
47	24	21/05/1990	34	37
48	50	24/05/1990	36	76
51	12	11/06/1991	32	15
52	57	15/06/1991	36	70
55	18	06/11/1997	-18	63
59	80	14/07/1900	22	7
60	230	15/04/2001	-20	85
61	26	18/04/2001	-23	117
63	21	26/12/2001	8	54
65	45	28/10/2003	20	-2
66	35	29/10/2003	-19	9
67	37	02/11/2003	-18	59
69	5500	20/01/2005	12
70	110	13/12/2006	6	24
71	23	17/05/2012	7	88
